"id","lat","long"
552,23.01054,39.33823
2064,14.98259,40.35201
1908,-2.56086,36.81471
1942,-1.5725,37.4049
7006,-66.22513,17.94745
2249,14.31202,55.92621
460,23.04061,38.85783
30,25.9719,36.9036
44,22.0831,38.2583
4979,141.50284,38.60228
4232,129.65117,33.19361
4317,131.4206,34.0094
4577,134.46599,34.78232
3933,148.71773,-20.26425
1550,-1.37403,60.28628
1749,8.74463,41.92232
4281,134.12414,34.38782
3214,10.74079,33.71536
4351,139.0796,35.0534
3507,55.45059,25.4243
5632,24.51045,65.6606
4939,138.41349,37.86498
4066,172.9604,-43.8067
4239,136.67497,37.16602
4845,134.99099,34.64229
4833,141.53811,38.79621
4579,130.31987,32.51829
3101,39.56757,41.02575
3116,26.15227,39.88031
3100,26.87859,39.58415
1455,4.74219,52.56239
4663,140.0289,39.77401
4289,139.85995,39.87594
4699,132.81759,34.31274
4397,144.83542,43.04253
1112,5.83853,53.05041
5568,-22.07595,64.31411
835,22.31788,38.17219
3141,33.03251,34.5729
5905,51.21885,43.59
750,23.343,37.41413
5575,-18.07486,65.69186
6246,-165.77904,54.13206
2101,27.29289,36.96701
3172,32.47822,29.88432
3521,56.08397,26.04683
3171,33.83695,31.15598
3464,59.5732,21.8529
3489,57.70264,19.67852
3499,55.77868,25.69401
3293,-3.9202,35.24757
3525,47.80136,29.38768
3492,55.79998,25.71688
3472,58.65347,23.5484
3450,49.69211,27.11078
3527,48.39473,28.65967
5830,51.53128,25.68748
3486,58.27041,23.63171
3444,38.40713,23.80494
3481,57.52681,23.82805
3458,49.13006,14.52643
3199,19.94054,31.94975
3495,56.01713,25.88699
3476,58.60723,23.58288
5831,51.20421,26.14863
3439,42.09618,17.62686
3485,57.44047,23.85444
3446,50.18167,26.14612
3237,10.36307,33.70121
5884,53.22079,39.35936
6849,-82.49048,23.09499
2139,32.00415,36.53715
3121,31.3875,41.1943
5813,49.44486,39.96983
6017,-73.74683,42.6457
3949,117.8959,-35.03632
2739,8.22045,44.04325
7095,-54.05439,5.4955
1174,4.65596,51.85799
2730,-8.2604,37.08175
1913,0.5519,40.572
6068,-122.72043,48.84251
5427,123.51559,9.73506
1965,3.13647,39.83453
1043,5.89329,53.04798
5893,-2.19772,49.72555
908,5.33903,51.79111
745,23.1864,38.08957
81,6.15045,62.4657
86,29.86284,31.18196
6210,-77.03692,38.80791
814,25.8962,40.83881
1419,7.12852,50.05594
87,-5.42208,36.1363
3264,3.07137,36.77038
2736,-9.22897,38.69371
2060,8.30895,40.56247
6335,-82.53065,42.61691
2130,26.95615,38.82474
1879,-0.49746,38.32293
2019,14.36122,38.53341
537,20.78167,37.84321
763,22.63083,40.3793
806,23.70334,37.91203
6000,-154.2504,56.89787
573,24.04697,38.39192
2783,18.95051,45.53172
5029,4.74872,52.63402
5937,-87.26503,30.34456
5406,124.28142,12.50341
2609,14.80382,55.27984
2719,-9.14487,38.68687
5027,6.63711,52.37014
1139,6.29694,52.16613
1062,5.22275,52.36358
1208,5.21823,52.33113
1918,-2.46208,36.82498
6899,-82.39356,9.28835
459,24.15805,38.26723
4003,147.24186,-43.31297
49,23.8667,39.1423
5957,-83.42269,45.05973
5013,4.64802,52.14235
88,23.3264,69.9844
6866,-71.54897,10.74746
7115,-85.58723,11.58788
6563,-97.88146,22.48769
1331,8.77156,53.83796
583,25.89311,35.17415
6609,-95.75538,18.76519
6790,-56.55547,-29.11399
5101,6.42253,60.43037
713,21.53871,38.15753
484,20.76887,37.84377
677,23.04988,38.19595
1268,9.57136,54.51086
4618,135.38163,34.68687
3722,128.9223,-3.33466
4265,129.993,32.3201
630,22.89014,39.16812
7114,-87.65179,13.29612
2170,32.3934,41.7458
2133,28.67439,40.9597
6956,-70.77716,19.83472
2374,-1.58297,55.33643
3368,13.7354,-10.74748
3802,128.17656,-3.69212
5018,4.96642,51.9587
1019,5.74713,53.43608
6315,-91.11553,29.66648
1298,7.61303,51.88951
3583,51.0887,28.51357
1472,5.37701,52.16318
51,21.1607,38.8924
1757,1.11769,49.41431
6488,-83.11581,42.09453
3548,53.37218,36.85953
3910,153.43696,-27.40068
4411,132.38681,35.14337
1041,5.22234,51.74455
823,20.47827,39.23884
772,23.92486,40.32682
719,23.92015,40.33481
454,25.2659,37.1015
1381,8.40081,54.63056
89,4.81023,52.4089
6856,-70.23211,11.74626
4520,130.45024,32.52507
5971,-122.60554,48.52364
3030,177.52593,64.73875
36,25.7712,36.3433
3033,37.30147,44.89926
574,23.93826,37.71768
6241,-149.9005,61.23154
6925,-77.18084,-11.77229
2029,13.50146,43.62161
6708,-73.83217,-41.866
5178,7.6751,62.56745
5285,16.1413,69.32752
1314,7.40841,50.44271
6049,-122.67645,47.17842
638,22.63191,38.37302
3025,132.3185,43.07772
31,24.7325,37.8844
458,24.94025,37.84243
7166,-64.38299,18.72143
4505,140.01383,35.50566
508,22.81657,40.49619
5011,5.98356,51.9155
3715,122.79467,0.86073
6200,-134.5672,57.4722
6628,-44.31173,-23.01401
7059,-63.09312,18.16918
5696,-6.58422,62.25266
3059,142.51841,46.71521
5492,128.43766,34.95152
1137,4.83737,52.85821
3269,7.77847,36.90484
6464,-122.96821,49.15826
3356,5.64126,-1.40615
